variable,name,low_input,high_input,unit,low_output,high_output,baseline_output,swing
Demand intensity (trips/bike/day),demand_intensity,0.8,4.0,trips/day,3910.3844182036514,9888.66174897971,6079.552345484925,5978.277330776058
Trip energy use,trip_energy,14.0,35.0,Wh/km,4750.378467433221,8305.160064417736,6079.552345484925,3554.781596984515
Daily fleet utilisation,fleet_utilisation,0.4,0.9,frac,4674.933040838517,7519.048869229903,6079.552345484925,2844.1158283913865
Demand growth (YoY),demand_growth,0.0,0.15,/yr,4909.981479152496,7459.512217158239,6079.552345484925,2549.530738005743
Equipment cost multiplier,equipment_cost,0.8,1.3,x,5413.242141848699,7079.017650939263,6079.552345484925,1665.775509090564
Electricity tariff,electricity_price,0.22,0.3,GBP/kWh,5624.914571441795,6534.190119528056,6079.552345484925,909.2755480862616
PV performance ratio,pv_output,0.75,0.95,frac,6193.078714311829,5969.1725885004,6079.552345484925,223.90612581142886
Charger availability,charger_avail,0.9,0.99,frac,6079.552345484925,6079.552345484925,6079.552345484925,0.0
Battery round-trip eff.,battery_eff,0.88,0.94,frac,6079.552345484925,6079.552345484925,6079.552345484925,0.0
