variable,name,first_order,total_order,si_ci_lo,si_ci_hi,sti_ci_lo,sti_ci_hi,pct_variance,pct_total
Demand intensity (trips/bike/day),demand_intensity,0.5031714151041501,0.4894109912793263,0.3371725702341917,0.6540289410889082,0.4518403969649275,0.5282076414042541,50.3,48.9
Trip energy use,trip_energy,0.12042632683299821,0.19681540940915665,0.018633246222226063,0.22226966933531409,0.18125938764170857,0.21311622870581362,12.0,19.7
Daily fleet utilisation,fleet_utilisation,0.23273028023010148,0.1622739471653835,0.13992317547836555,0.329887569111649,0.1445352999325323,0.1804371765082601,23.3,16.2
Demand growth (YoY),demand_growth,0.19337369890560255,0.1577766724341283,0.10282103690691018,0.291356124448772,0.12395142841244157,0.21747307728039184,19.3,15.8
Equipment cost multiplier,equipment_cost,0.024320466887561922,0.028737798423881408,0.0,0.06094029027327175,0.02635937688797135,0.031010283382689293,2.4,2.9
Electricity tariff,electricity_price,0.01052959738977163,0.01616955539001837,0.0,0.040049922387761346,0.014552534237515864,0.017845236183716178,1.1,1.6
PV performance ratio,pv_output,0.0,0.0006031879452102805,0.0,0.002258160600080964,0.0005523924290127168,0.0006519273271937596,0.0,0.1
Charger availability,charger_avail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery round-trip eff.,battery_eff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
