rule,design,greedy_service,lp_service,service_gain_pp,greedy_cost,lp_cost,cost_change_pct,lp_beats_or_matches
naive_deterministic,PV=5kWp | BESS=0kWh | 4 chargers,0.9529716770712984,0.9529716770712984,0.0,47178.8653219243,47178.865321924226,-1.5422069955553267e-13,True
stochastic,PV=5kWp | BESS=0kWh | 8 chargers,0.996391426992866,0.996391426992866,0.0,19581.23772545217,19581.237725452294,6.316826401649846e-13,True
cvar,PV=10kWp | BESS=0kWh | 8 chargers,0.9963935401732495,0.9963935401732495,0.0,19234.094959318376,19234.09495931848,5.485123455447392e-13,True
maximin_robust,PV=15kWp | BESS=0kWh | 8 chargers,0.9963939480422934,0.9963939480422934,0.0,19232.250294459227,19232.25029445932,4.918168572901476e-13,True
